timestamp,open,high,low,close,volume,oi
2023-11-13T15:29:00+05:30,52.05,52.1,52.0,52.05,27864,0
2023-11-13T15:28:00+05:30,52.05,52.1,52.0,52.05,97330,0
2023-11-13T15:27:00+05:30,52.1,52.1,52.05,52.05,41026,0
2023-11-13T15:26:00+05:30,52.1,52.1,52.05,52.05,51607,0
2023-11-13T15:25:00+05:30,52.1,52.1,52.05,52.1,64896,0
2023-11-13T15:24:00+05:30,52.1,52.1,52.05,52.1,33730,0
2023-11-13T15:23:00+05:30,52.05,52.1,52.05,52.05,27722,0
2023-11-13T15:22:00+05:30,52.05,52.1,52.05,52.1,32931,0
2023-11-13T15:21:00+05:30,52.05,52.05,52.0,52.0,37129,0
2023-11-13T15:20:00+05:30,52.0,52.05,52.0,52.0,91383,0
2023-11-13T15:19:00+05:30,52.05,52.1,52.0,52.05,35115,0
2023-11-13T15:18:00+05:30,52.05,52.1,52.05,52.05,70349,0
2023-11-13T15:17:00+05:30,52.1,52.1,52.05,52.05,16810,0
2023-11-13T15:16:00+05:30,52.1,52.1,52.05,52.1,31259,0
2023-11-13T15:15:00+05:30,52.1,52.1,52.0,52.1,43707,0
2023-11-13T15:14:00+05:30,52.1,52.15,52.1,52.1,39464,0
2023-11-13T15:13:00+05:30,52.15,52.15,52.1,52.15,11264,0
2023-11-13T15:12:00+05:30,52.1,52.15,52.1,52.15,42631,0
2023-11-13T15:11:00+05:30,52.25,52.25,52.1,52.1,58843,0
2023-11-13T15:10:00+05:30,52.25,52.25,52.2,52.25,10394,0
2023-11-13T15:09:00+05:30,52.25,52.3,52.2,52.2,55730,0
2023-11-13T15:08:00+05:30,52.3,52.3,52.25,52.3,35566,0
2023-11-13T15:07:00+05:30,52.25,52.3,52.25,52.25,30009,0
2023-11-13T15:06:00+05:30,52.25,52.3,52.25,52.25,23543,0
2023-11-13T15:05:00+05:30,52.3,52.3,52.25,52.25,41573,0
2023-11-13T15:04:00+05:30,52.25,52.3,52.25,52.25,32362,0
2023-11-13T15:03:00+05:30,52.3,52.3,52.25,52.3,105754,0
2023-11-13T15:02:00+05:30,52.2,52.3,52.15,52.25,228557,0
2023-11-13T15:01:00+05:30,52.1,52.15,52.05,52.15,60475,0
2023-11-13T15:00:00+05:30,52.1,52.1,52.05,52.1,10619,0
2023-11-13T14:59:00+05:30,52.1,52.1,52.05,52.05,26654,0
2023-11-13T14:58:00+05:30,52.1,52.1,52.05,52.05,12133,0
2023-11-13T14:57:00+05:30,52.1,52.1,52.05,52.05,11693,0
2023-11-13T14:56:00+05:30,52.1,52.1,52.05,52.1,19260,0
2023-11-13T14:55:00+05:30,52.1,52.1,52.05,52.05,21669,0
2023-11-13T14:54:00+05:30,52.1,52.1,52.05,52.05,2782,0
2023-11-13T14:53:00+05:30,52.05,52.1,52.05,52.1,5366,0
2023-11-13T14:52:00+05:30,52.05,52.1,52.05,52.05,5759,0
2023-11-13T14:51:00+05:30,52.1,52.1,52.05,52.05,2701,0
2023-11-13T14:50:00+05:30,52.05,52.1,52.05,52.1,1518,0
2023-11-13T14:49:00+05:30,52.1,52.1,52.05,52.05,15131,0
2023-11-13T14:48:00+05:30,52.1,52.1,52.05,52.05,4199,0
2023-11-13T14:47:00+05:30,52.1,52.1,52.05,52.05,13911,0
2023-11-13T14:46:00+05:30,52.05,52.1,52.05,52.1,17408,0
2023-11-13T14:45:00+05:30,52.1,52.1,52.05,52.05,6452,0
2023-11-13T14:44:00+05:30,52.1,52.1,52.05,52.1,14082,0
2023-11-13T14:43:00+05:30,52.1,52.1,52.05,52.05,334,0
2023-11-13T14:42:00+05:30,52.1,52.1,52.05,52.1,6770,0
2023-11-13T14:41:00+05:30,52.1,52.1,52.05,52.05,26596,0
2023-11-13T14:40:00+05:30,52.1,52.1,52.05,52.1,7065,0
2023-11-13T14:39:00+05:30,52.1,52.1,52.05,52.05,19665,0
2023-11-13T14:38:00+05:30,52.1,52.1,52.05,52.05,10263,0
2023-11-13T14:37:00+05:30,52.1,52.1,52.05,52.05,2513,0
2023-11-13T14:36:00+05:30,52.05,52.1,52.05,52.1,14358,0
2023-11-13T14:35:00+05:30,52.05,52.1,52.05,52.05,29765,0
2023-11-13T14:34:00+05:30,52.1,52.1,52.05,52.05,1277,0
2023-11-13T14:33:00+05:30,52.1,52.1,52.05,52.1,2714,0
2023-11-13T14:32:00+05:30,52.05,52.1,52.05,52.1,876,0
2023-11-13T14:31:00+05:30,52.1,52.1,52.05,52.05,2785,0
2023-11-13T14:30:00+05:30,52.1,52.1,52.05,52.1,6613,0
2023-11-13T14:29:00+05:30,52.05,52.1,52.05,52.1,15000,0
2023-11-13T14:28:00+05:30,52.1,52.15,52.05,52.1,19194,0
2023-11-13T14:27:00+05:30,52.15,52.15,52.1,52.1,3464,0
2023-11-13T14:26:00+05:30,52.2,52.2,52.1,52.1,30093,0
2023-11-13T14:25:00+05:30,52.2,52.25,52.15,52.15,39268,0
2023-11-13T14:24:00+05:30,52.05,52.2,52.05,52.2,165816,0
2023-11-13T14:23:00+05:30,52.05,52.1,52.05,52.05,21409,0
2023-11-13T14:22:00+05:30,52.0,52.05,52.0,52.05,60652,0
2023-11-13T14:21:00+05:30,51.9,52.0,51.9,51.95,43247,0
2023-11-13T14:20:00+05:30,52.0,52.0,51.95,51.95,104664,0
2023-11-13T14:19:00+05:30,52.0,52.0,51.95,51.95,4161,0
2023-11-13T14:18:00+05:30,52.0,52.0,51.95,51.95,224,0
2023-11-13T14:17:00+05:30,51.95,52.0,51.95,52.0,5280,0
2023-11-13T14:16:00+05:30,51.9,52.0,51.9,52.0,74688,0
2023-11-13T14:15:00+05:30,51.85,51.9,51.85,51.85,75810,0
2023-11-13T14:14:00+05:30,51.85,51.85,51.8,51.85,39242,0
2023-11-13T14:13:00+05:30,51.85,51.85,51.8,51.85,8570,0
2023-11-13T14:12:00+05:30,51.85,51.85,51.8,51.85,875,0
